country,year,v2x_frassoc_thick,NGDPDPC,NGDP_RPCH,v2x_pubcorr,v2xnp_regcorr,v2xel_frefair,v2x_freexp,v2elembcap
ARM,2008,0.692,,,0.745,0.863,0.129,0.57,1.471
ARM,2009,0.694,,,0.745,0.863,0.12,0.643,1.471
ARM,2010,0.709,,,0.745,0.843,0.12,0.686,1.471
ARM,2011,0.71,,,0.745,0.843,0.12,0.687,1.471
ARM,2012,0.688,,,0.729,0.843,0.189,0.687,1.471
ARM,2013,0.687,,,0.71,0.856,0.189,0.646,0.972
ARM,2014,0.632,,,0.71,0.856,0.194,0.66,0.972
ARM,2015,0.676,,,0.71,0.856,0.191,0.644,0.972
ARM,2016,0.675,,,0.71,0.856,0.187,0.649,0.972
ARM,2017,0.717,,,0.68,0.818,0.274,0.665,1.054
ARM,2018,0.832,,,0.324,0.346,0.454,0.816,2.061
ARM,2019,0.872,,,0.199,0.268,0.921,0.852,2.061
ARM,2020,0.869,,,0.264,0.295,0.901,0.845,1.944
ARM,2021,0.876,,,0.264,0.337,0.813,0.797,2.239
ARM,2022,0.892,,,0.264,0.329,0.657,0.782,1.031
ARM,2023,0.887,,,0.323,0.368,0.677,0.721,1.447
ARM,2024,0.888,,,0.323,0.368,0.677,0.706,1.447
AZE,1990,0.343,,,0.602,0.604,0.107,0.263,1.098
AZE,1991,0.484,,,0.602,0.604,0.231,0.263,1.098
AZE,1992,0.669,,,0.569,0.591,0.441,0.494,1.098
AZE,1993,0.538,,,0.822,0.845,0.364,0.411,1.098
AZE,1994,0.387,,,0.963,0.919,0.266,0.245,1.098
AZE,1995,0.39,,,0.963,0.919,0.253,0.245,1.098
AZE,1996,0.414,,,0.963,0.919,0.173,0.245,1.098
AZE,1997,0.414,,,0.963,0.919,0.182,0.245,1.58
AZE,1998,0.419,,,0.963,0.93,0.178,0.286,1.58
AZE,1999,0.407,,,0.963,0.93,0.165,0.286,1.58
AZE,2000,0.406,,,0.963,0.941,0.162,0.339,1.58
AZE,2001,0.399,,,0.963,0.941,0.146,0.339,1.58
AZE,2002,0.399,,,0.963,0.941,0.146,0.317,1.58
AZE,2003,0.406,,,0.963,0.941,0.143,0.306,1.58
AZE,2004,0.351,,,0.963,0.941,0.132,0.266,1.58
AZE,2005,0.351,,,0.963,0.941,0.13,0.266,1.58
AZE,2006,0.354,,,0.963,0.941,0.107,0.266,1.58
AZE,2007,0.354,,,0.963,0.938,0.107,0.259,1.58
AZE,2008,0.341,,,0.958,0.932,0.111,0.246,1.58
AZE,2009,0.322,,,0.958,0.932,0.124,0.241,1.58
AZE,2010,0.32,,,0.939,0.932,0.122,0.235,1.58
AZE,2011,0.332,,,0.939,0.932,0.11,0.235,1.58
AZE,2012,0.324,,,0.926,0.94,0.11,0.235,1.58
AZE,2013,0.311,,,0.907,0.944,0.087,0.234,1.012
AZE,2014,0.299,,,0.907,0.944,0.054,0.208,1.012
AZE,2015,0.296,,,0.907,0.943,0.056,0.208,1.012
AZE,2016,0.284,,,0.905,0.939,0.064,0.217,1.222
AZE,2017,0.312,,,0.913,0.941,0.064,0.229,1.414
AZE,2018,0.267,,,0.913,0.942,0.071,0.218,1.692
AZE,2019,0.27,,,0.891,0.925,0.071,0.219,1.667
AZE,2020,0.29,,,0.906,0.938,0.08,0.207,1.667
AZE,2021,0.286,,,0.816,0.926,0.08,0.243,1.695
AZE,2022,0.213,,,0.825,0.919,0.08,0.238,1.695
AZE,2023,0.211,,,0.719,0.924,0.085,0.236,1.841
AZE,2024,0.152,,,0.759,0.939,0.093,0.189,1.505
Asia (avg),1990,0.3738181818181818,3749.756571428571,5.3619047619047615,0.52878125,0.588625,0.30154545454545456,0.42469696969696974,0.22254545454545457
Asia (avg),1991,0.42103030303030303,4234.663571428571,5.642857142857143,0.53578125,0.598375,0.3175454545454545,0.44427272727272726,0.22469696969696973
Asia (avg),1992,0.45475757575757575,3557.75375,4.445454545454545,0.55190625,0.61940625,0.3463333333333333,0.4532121212121212,0.2863939393939394
Asia (avg),1993,0.46181818181818185,4028.9036428571426,1.3249999999999997,0.57865625,0.63684375,0.3657575757575758,0.4596363636363636,0.42027272727272724
Asia (avg),1994,0.4596666666666666,4342.904827586207,1.9678571428571427,0.59546875,0.6431875,0.3593636363636364,0.45645454545454545,0.33106060606060606
Asia (avg),1995,0.45887878787878783,4884.306379310345,3.5517241379310347,0.59909375,0.6499375,0.3465757575757576,0.45596969696969697,0.3555151515151515
Asia (avg),1996,0.45760606060606057,4898.696448275862,5.5344827586206895,0.6018125,0.6530625,0.34106060606060606,0.45109090909090904,0.36254545454545456
Asia (avg),1997,0.4583030303030303,4853.532103448275,5.0,0.60128125,0.6460312500000001,0.3481818181818182,0.4501212121212121,0.41496969696969693
Asia (avg),1998,0.47015151515151515,4095.0142666666666,1.7620689655172415,0.6004375,0.64875,0.3540606060606061,0.466030303030303,0.4810909090909091
Asia (avg),1999,0.48187878787878785,4356.0932999999995,5.653333333333333,0.59521875,0.6464375,0.3565151515151515,0.47824242424242425,0.5311212121212121
Asia (avg),2000,0.49627272727272725,4538.354806451613,6.753333333333333,0.60096875,0.648875,0.3486060606060606,0.506909090909091,0.5497878787878788
Asia (avg),2001,0.493090909090909,4250.734548387097,5.632258064516129,0.5982424242424242,0.6394242424242425,0.35348484848484846,0.5106666666666667,0.5497878787878788
Asia (avg),2002,0.518969696969697,4200.34228125,5.625806451612903,0.6036666666666667,0.651060606060606,0.36687878787878786,0.5203939393939393,0.5923636363636364
Asia (avg),2003,0.5234848484848484,4496.92884375,7.325,0.6034848484848485,0.6482727272727273,0.361060606060606,0.5234242424242425,0.6016969696969697
Asia (avg),2004,0.5233030303030303,5003.990625,7.384375,0.5837575757575757,0.6314545454545455,0.3715151515151515,0.5256363636363637,0.619030303030303
Asia (avg),2005,0.5345454545454545,5413.5865,7.296875,0.5834848484848485,0.6329696969696971,0.3824545454545455,0.5232121212121212,0.6873636363636364
Asia (avg),2006,0.5258484848484849,5910.75821875,8.440625,0.5807272727272728,0.6305454545454545,0.3676969696969697,0.5186060606060606,0.677969696969697
Asia (avg),2007,0.5275151515151516,6640.56196875,8.875,0.5793636363636363,0.626,0.3568181818181818,0.5191818181818182,0.7329696969696969
Asia (avg),2008,0.5483333333333333,7084.65465625,6.0375,0.580030303030303,0.6255151515151515,0.4057878787878788,0.5275151515151516,0.807030303030303
Asia (avg),2009,0.5578181818181819,6804.29175,2.746875,0.5824242424242424,0.6296060606060606,0.4330606060606061,0.5310303030303031,0.8122727272727273
Asia (avg),2010,0.5647878787878788,7792.51203125,7.125,0.5807878787878789,0.6256969696969696,0.43763636363636366,0.5430909090909091,0.8616666666666667
Asia (avg),2011,0.5734242424242425,8764.3710625,6.265625,0.5795454545454546,0.619030303030303,0.4486969696969697,0.5535757575757576,0.8545454545454545
Asia (avg),2012,0.5706363636363636,9127.408875000001,5.7625,0.5805454545454546,0.624,0.45136363636363636,0.5505454545454546,0.883909090909091
Asia (avg),2013,0.5671515151515152,9232.5706875,5.353125,0.5753333333333334,0.6103939393939394,0.44545454545454544,0.5318484848484849,0.834090909090909
Asia (avg),2014,0.5493939393939393,9413.8094375,5.09375,0.5721212121212121,0.6092424242424243,0.4417878787878788,0.5167575757575757,0.8163333333333334
Asia (avg),2015,0.5421515151515152,9053.236375,4.246875,0.5711818181818182,0.6003333333333334,0.4448484848484848,0.5158484848484849,0.8221515151515152
Asia (avg),2016,0.5366969696969697,9195.16840625,4.09375,0.5660909090909091,0.5927272727272727,0.45266666666666666,0.5088181818181818,0.8081212121212121
Asia (avg),2017,0.5319090909090909,9755.2644375,5.01875,0.5627878787878787,0.5778787878787879,0.4576969696969697,0.5075454545454545,0.8291818181818181
Asia (avg),2018,0.5332424242424243,10374.236375,4.8375,0.5446363636363636,0.5503333333333333,0.46221212121212124,0.516969696969697,0.861030303030303
Asia (avg),2019,0.5424848484848486,10458.60853125,4.234375,0.532060606060606,0.543939393939394,0.4725757575757576,0.5171818181818182,0.9132121212121211
Asia (avg),2020,0.5310909090909091,9987.53059375,-3.9812499999999997,0.5361818181818182,0.5521212121212121,0.4713636363636364,0.4978181818181818,0.8999696969696969
Asia (avg),2021,0.5003333333333333,11428.69403125,4.790625,0.5418181818181818,0.5651212121212121,0.4539090909090909,0.4567878787878788,0.8427575757575757
Asia (avg),2022,0.4927575757575757,11861.14103125,4.828125,0.5380909090909092,0.549030303030303,0.43763636363636366,0.4553030303030303,0.7372424242424243
Asia (avg),2023,0.48315151515151517,11984.0324375,4.05625,0.5342121212121212,0.5527878787878788,0.44496969696969696,0.4433939393939394,0.7291818181818182
Asia (avg),2024,0.4751212121212121,12909.911064516129,4.603225806451612,0.5309393939393939,0.5525151515151515,0.43818181818181823,0.44730303030303026,0.7452424242424243
BGD,1990,0.633,,,0.96,0.804,0.158,0.354,-0.319
BGD,1991,0.74,,,0.898,0.707,0.491,0.669,-0.828
BGD,1992,0.742,,,0.898,0.732,0.526,0.688,-0.828
BGD,1993,0.739,,,0.898,0.732,0.526,0.688,-0.828
BGD,1994,0.739,,,0.898,0.732,0.526,0.688,-0.828
BGD,1995,0.739,,,0.898,0.732,0.526,0.688,-0.828
BGD,1996,0.744,,,0.936,0.656,0.534,0.623,-0.828
BGD,1997,0.759,,,0.936,0.656,0.534,0.623,-0.828
BGD,1998,0.759,,,0.936,0.656,0.534,0.623,-0.828
BGD,1999,0.759,,,0.936,0.656,0.534,0.623,-0.828
BGD,2000,0.759,,,0.961,0.658,0.534,0.623,-0.828
BGD,2001,0.737,,,0.961,0.658,0.536,0.623,-0.828
BGD,2002,0.737,,,0.902,0.798,0.442,0.577,-0.828
BGD,2003,0.749,,,0.902,0.798,0.442,0.577,-0.828
BGD,2004,0.749,,,0.902,0.798,0.442,0.577,-0.828
BGD,2005,0.749,,,0.902,0.798,0.442,0.577,-0.828
BGD,2006,0.743,,,0.902,0.798,0.362,0.537,-0.828
BGD,2007,0.582,,,0.833,0.696,0.0,0.446,-0.718
BGD,2008,0.59,,,0.833,0.696,0.004,0.492,-0.718
BGD,2009,0.729,,,0.962,0.841,0.456,0.406,-0.718
BGD,2010,0.725,,,0.962,0.856,0.458,0.413,-0.718
BGD,2011,0.712,,,0.962,0.856,0.458,0.381,-0.718
BGD,2012,0.702,,,0.962,0.856,0.447,0.36,-0.718
BGD,2013,0.637,,,0.937,0.856,0.45,0.328,-0.718
BGD,2014,0.581,,,0.937,0.851,0.131,0.291,-0.819
BGD,2015,0.553,,,0.913,0.83,0.125,0.28,-0.937
BGD,2016,0.547,,,0.924,0.83,0.125,0.28,-1.114
BGD,2017,0.533,,,0.924,0.847,0.131,0.235,-1.003
BGD,2018,0.478,,,0.925,0.849,0.107,0.236,-1.088
BGD,2019,0.435,,,0.925,0.847,0.158,0.221,-0.89
BGD,2020,0.456,,,0.916,0.838,0.158,0.232,-0.89
BGD,2021,0.443,,,0.933,0.857,0.158,0.22,-0.89
BGD,2022,0.489,,,0.961,0.856,0.154,0.224,-1.032
BGD,2023,0.46,,,0.966,0.84,0.158,0.214,-0.756
BGD,2024,0.423,,,0.966,0.845,0.061,0.3,-0.756
BTN,1990,0.107,,,0.177,0.172,0.0,0.395,0.449
BTN,1991,0.107,,,0.177,0.172,0.0,0.395,0.449
BTN,1992,0.107,,,0.177,0.16,0.0,0.418,0.449
BTN,1993,0.107,,,0.177,0.16,0.0,0.434,0.449
BTN,1994,0.107,,,0.177,0.16,0.0,0.426,0.449
BTN,1995,0.107,,,0.177,0.16,0.0,0.426,0.449
BTN,1996,0.107,,,0.177,0.16,0.0,0.428,0.449
BTN,1997,0.107,,,0.177,0.16,0.0,0.428,0.449
BTN,1998,0.107,,,0.177,0.165,0.0,0.447,0.449
BTN,1999,0.107,,,0.177,0.177,0.0,0.467,0.449
BTN,2000,0.138,,,0.177,0.177,0.0,0.5,0.449
BTN,2001,0.138,,,0.177,0.177,0.0,0.51,0.449
BTN,2002,0.139,,,0.115,0.172,0.0,0.537,0.449
BTN,2003,0.138,,,0.115,0.149,0.0,0.559,0.449
BTN,2004,0.138,,,0.115,0.128,0.0,0.559,0.449
BTN,2005,0.138,,,0.115,0.128,0.0,0.559,0.449
BTN,2006,0.138,,,0.115,0.116,0.0,0.578,0.449
BTN,2007,0.313,,,0.115,0.116,0.0,0.599,0.882
BTN,2008,0.608,,,0.087,0.063,0.658,0.711,1.488
BTN,2009,0.63,,,0.078,0.063,0.85,0.714,1.488
BTN,2010,0.632,,,0.078,0.063,0.85,0.735,1.488
BTN,2011,0.632,,,0.078,0.063,0.85,0.735,1.488
BTN,2012,0.632,,,0.078,0.063,0.85,0.751,1.488
BTN,2013,0.64,,,0.141,0.051,0.848,0.699,1.488
BTN,2014,0.644,,,0.141,0.051,0.844,0.689,1.488
BTN,2015,0.644,,,0.141,0.051,0.844,0.689,1.488
BTN,2016,0.645,,,0.175,0.051,0.844,0.666,1.488
BTN,2017,0.654,,,0.175,0.051,0.844,0.666,1.488
BTN,2018,0.655,,,0.175,0.051,0.858,0.67,1.834
BTN,2019,0.657,,,0.175,0.051,0.877,0.68,1.834
BTN,2020,0.629,,,0.175,0.052,0.858,0.715,1.091
BTN,2021,0.606,,,0.177,0.06,0.866,0.698,1.091
BTN,2022,0.586,,,0.177,0.093,0.866,0.692,1.091
BTN,2023,0.615,,,0.177,0.093,0.867,0.703,1.091
BTN,2024,0.624,,,0.212,0.086,0.857,0.715,1.134
CHN,1990,0.055,,,0.637,0.577,0.0,0.239,-0.749
CHN,1991,0.058,,,0.637,0.577,0.0,0.239,-0.749
CHN,1992,0.06,,,0.644,0.578,0.0,0.261,-0.749
CHN,1993,0.06,,,0.644,0.595,0.0,0.298,-0.749
CHN,1994,0.061,,,0.644,0.621,0.0,0.298,-0.749
CHN,1995,0.062,,,0.644,0.621,0.0,0.298,-0.749
CHN,1996,0.065,,,0.644,0.621,0.0,0.298,-0.749
CHN,1997,0.065,,,0.644,0.621,0.0,0.298,-0.749
CHN,1998,0.065,,,0.644,0.621,0.0,0.298,-0.749
CHN,1999,0.065,,,0.644,0.624,0.0,0.298,-0.749
CHN,2000,0.065,,,0.644,0.651,0.0,0.298,-0.749
CHN,2001,0.065,,,0.644,0.651,0.0,0.297,-0.749
CHN,2002,0.068,,,0.644,0.651,0.0,0.308,-0.749
CHN,2003,0.068,,,0.644,0.651,0.0,0.321,-0.749
CHN,2004,0.068,,,0.644,0.651,0.0,0.323,-0.749
CHN,2005,0.062,,,0.638,0.592,0.0,0.259,0.645
CHN,2006,0.062,,,0.638,0.592,0.0,0.259,0.645
CHN,2007,0.062,,,0.638,0.592,0.0,0.256,0.645
CHN,2008,0.065,,,0.645,0.575,0.0,0.257,0.645
CHN,2009,0.065,,,0.637,0.575,0.0,0.253,0.645
CHN,2010,0.064,,,0.644,0.583,0.0,0.252,0.621
CHN,2011,0.064,,,0.644,0.583,0.0,0.248,0.646
CHN,2012,0.061,,,0.626,0.574,0.0,0.25,0.646
CHN,2013,0.051,,,0.549,0.532,0.0,0.188,0.9
CHN,2014,0.051,,,0.542,0.522,0.0,0.156,0.848
CHN,2015,0.045,,,0.534,0.525,0.0,0.136,0.91
CHN,2016,0.042,,,0.534,0.525,0.0,0.11,0.91
CHN,2017,0.046,,,0.534,0.522,0.0,0.093,1.038
CHN,2018,0.046,,,0.512,0.522,0.0,0.069,1.038
CHN,2019,0.042,,,0.48,0.509,0.0,0.053,1.038
CHN,2020,0.04,,,0.465,0.493,0.0,0.065,0.959
CHN,2021,0.048,,,0.488,0.517,0.0,0.06,0.997
CHN,2022,0.043,,,0.483,0.491,0.0,0.05,0.926
CHN,2023,0.036,,,0.498,0.525,0.0,0.046,0.926
CHN,2024,0.036,,,0.498,0.556,0.0,0.048,1.082
GEO,1990,0.555,,,0.778,0.786,0.229,0.465,-0.423
GEO,1991,0.662,,,0.778,0.838,0.22,0.497,-0.423
GEO,1992,0.759,,,0.821,0.911,0.043,0.619,-0.542
GEO,1993,0.764,,,0.903,0.887,0.191,0.634,-0.2
GEO,1994,0.78,,,0.903,0.887,0.181,0.691,-0.244
GEO,1995,0.777,,,0.903,0.917,0.192,0.691,-0.124
GEO,1996,0.756,,,0.903,0.927,0.222,0.712,-0.124
GEO,1997,0.756,,,0.903,0.904,0.222,0.696,-0.124
GEO,1998,0.756,,,0.903,0.894,0.222,0.696,-0.124
GEO,1999,0.757,,,0.878,0.902,0.215,0.696,-0.124
GEO,2000,0.76,,,0.855,0.886,0.19,0.715,-0.124
GEO,2001,0.76,,,0.855,0.886,0.193,0.715,-0.124
GEO,2002,0.753,,,0.855,0.886,0.193,0.715,-0.124
GEO,2003,0.766,,,0.855,0.886,0.197,0.715,0.351
GEO,2004,0.846,,,0.11,0.218,0.555,0.745,0.874
GEO,2005,0.846,,,0.064,0.194,0.557,0.748,0.874
GEO,2006,0.84,,,0.043,0.193,0.557,0.737,0.874
GEO,2007,0.814,,,0.035,0.185,0.566,0.699,1.062
GEO,2008,0.794,,,0.031,0.185,0.479,0.708,1.062
GEO,2009,0.792,,,0.028,0.174,0.478,0.7,1.062
GEO,2010,0.788,,,0.028,0.173,0.492,0.697,1.355
GEO,2011,0.797,,,0.028,0.162,0.492,0.697,1.355
GEO,2012,0.79,,,0.036,0.154,0.516,0.712,1.552
GEO,2013,0.85,,,0.061,0.135,0.562,0.888,1.359
GEO,2014,0.855,,,0.085,0.14,0.65,0.913,1.359
GEO,2015,0.854,,,0.097,0.14,0.648,0.906,1.343
GEO,2016,0.867,,,0.097,0.15,0.669,0.914,1.736
GEO,2017,0.893,,,0.104,0.145,0.654,0.91,1.95
GEO,2018,0.878,,,0.126,0.154,0.635,0.897,1.929
GEO,2019,0.864,,,0.126,0.16,0.571,0.894,2.071
GEO,2020,0.878,,,0.136,0.159,0.555,0.876,2.071
GEO,2021,0.854,,,0.128,0.197,0.549,0.867,2.071
GEO,2022,0.855,,,0.123,0.205,0.548,0.867,2.071
GEO,2023,0.808,,,0.123,0.207,0.553,0.832,2.071
GEO,2024,0.728,,,0.134,0.265,0.472,0.696,1.845
HKG,1990,0.755,,,0.067,0.055,0.0,0.887,1.657
HKG,1991,0.782,,,0.067,0.055,0.236,0.923,1.657
HKG,1992,0.842,,,0.067,0.055,0.775,0.923,1.657
HKG,1993,0.846,,,0.067,0.055,0.775,0.923,1.657
HKG,1994,0.846,,,0.067,0.055,0.775,0.923,1.657
HKG,1995,0.847,,,0.067,0.055,0.811,0.923,2.489
HKG,1996,0.849,,,0.067,0.055,0.807,0.923,2.489
HKG,1997,0.828,,,0.055,0.055,0.807,0.861,2.489
HKG,1998,0.831,,,0.055,0.055,0.82,0.867,2.489
HKG,1999,0.825,,,0.055,0.055,0.826,0.867,2.489
HKG,2000,0.824,,,0.055,0.055,0.825,0.867,2.489
HKG,2001,0.821,,,0.055,0.055,0.823,0.867,2.489
HKG,2002,0.821,,,0.055,0.055,0.823,0.867,2.489
HKG,2003,0.821,,,0.055,0.055,0.823,0.867,2.489
HKG,2004,0.821,,,0.055,0.055,0.817,0.867,2.489
HKG,2005,0.823,,,0.055,0.055,0.802,0.867,2.489
HKG,2006,0.823,,,0.055,0.055,0.802,0.867,2.489
HKG,2007,0.823,,,0.055,0.055,0.799,0.866,2.489
HKG,2008,0.823,,,0.055,0.055,0.812,0.855,2.489
HKG,2009,0.82,,,0.055,0.055,0.839,0.849,2.489
HKG,2010,0.812,,,0.055,0.055,0.839,0.85,2.489
HKG,2011,0.812,,,0.071,0.064,0.831,0.85,2.145
HKG,2012,0.799,,,0.091,0.094,0.827,0.815,2.145
HKG,2013,0.794,,,0.091,0.094,0.817,0.811,2.145
HKG,2014,0.774,,,0.091,0.094,0.817,0.792,2.145
HKG,2015,0.711,,,0.091,0.094,0.811,0.769,2.145
HKG,2016,0.651,,,0.091,0.094,0.78,0.769,2.145
HKG,2017,0.641,,,0.091,0.075,0.715,0.769,2.145
HKG,2018,0.603,,,0.091,0.07,0.715,0.749,2.145
HKG,2019,0.544,,,0.091,0.07,0.705,0.615,2.145
HKG,2020,0.449,,,0.091,0.073,0.688,0.457,2.145
HKG,2021,0.272,,,0.091,0.073,0.659,0.268,1.755
HKG,2022,0.225,,,0.091,0.069,0.333,0.276,1.755
HKG,2023,0.206,,,0.091,0.069,0.279,0.261,0.905
HKG,2024,0.199,,,0.091,0.069,0.301,0.275,0.905
IDN,1990,0.147,,,0.885,0.956,0.151,0.128,1.341
IDN,1991,0.147,,,0.885,0.956,0.151,0.128,1.341
IDN,1992,0.145,,,0.885,0.956,0.148,0.128,1.341
IDN,1993,0.147,,,0.885,0.956,0.145,0.128,1.341
IDN,1994,0.147,,,0.885,0.956,0.145,0.128,1.341
IDN,1995,0.147,,,0.885,0.956,0.145,0.128,1.341
IDN,1996,0.147,,,0.885,0.956,0.145,0.128,1.341
IDN,1997,0.16,,,0.885,0.956,0.182,0.128,1.341
IDN,1998,0.341,,,0.775,0.818,0.24,0.451,1.849
IDN,1999,0.749,,,0.722,0.699,0.568,0.813,1.88
IDN,2000,0.805,,,0.722,0.705,0.752,0.826,1.88
IDN,2001,0.805,,,0.722,0.705,0.752,0.826,1.88
IDN,2002,0.805,,,0.722,0.705,0.752,0.826,1.88
IDN,2003,0.805,,,0.722,0.705,0.752,0.826,1.88
IDN,2004,0.795,,,0.71,0.701,0.823,0.813,1.88
IDN,2005,0.795,,,0.702,0.687,0.847,0.813,1.88
IDN,2006,0.795,,,0.691,0.687,0.847,0.813,1.88
IDN,2007,0.795,,,0.691,0.683,0.846,0.822,1.88
IDN,2008,0.795,,,0.691,0.7,0.844,0.82,1.997
IDN,2009,0.795,,,0.701,0.697,0.801,0.82,1.899
IDN,2010,0.801,,,0.715,0.697,0.785,0.823,1.863
IDN,2011,0.801,,,0.715,0.694,0.785,0.823,1.863
IDN,2012,0.801,,,0.715,0.7,0.794,0.823,1.863
IDN,2013,0.797,,,0.73,0.695,0.79,0.806,1.872
IDN,2014,0.798,,,0.729,0.707,0.767,0.806,1.872
IDN,2015,0.767,,,0.697,0.682,0.758,0.825,1.645
IDN,2016,0.741,,,0.704,0.676,0.758,0.809,1.645
IDN,2017,0.725,,,0.712,0.691,0.757,0.79,1.645
IDN,2018,0.716,,,0.758,0.714,0.757,0.77,1.645
IDN,2019,0.71,,,0.766,0.727,0.72,0.761,1.645
IDN,2020,0.684,,,0.829,0.743,0.705,0.657,1.645
IDN,2021,0.681,,,0.757,0.767,0.674,0.65,1.645
IDN,2022,0.693,,,0.757,0.721,0.656,0.669,1.485
IDN,2023,0.714,,,0.757,0.758,0.649,0.602,1.368
IDN,2024,0.686,,,0.732,0.75,0.517,0.637,1.368
IND,1990,0.8,,,0.374,0.548,0.789,0.814,0.768
IND,1991,0.811,,,0.374,0.548,0.82,0.814,1.539
IND,1992,0.815,,,0.585,0.548,0.829,0.814,1.539
IND,1993,0.822,,,0.585,0.548,0.829,0.814,1.539
IND,1994,0.822,,,0.585,0.548,0.829,0.814,1.539
IND,1995,0.822,,,0.585,0.548,0.829,0.814,1.539
IND,1996,0.814,,,0.585,0.548,0.847,0.814,1.539
IND,1997,0.81,,,0.585,0.548,0.856,0.814,1.539
IND,1998,0.82,,,0.585,0.548,0.857,0.814,1.539
IND,1999,0.809,,,0.585,0.548,0.857,0.801,1.539
IND,2000,0.794,,,0.585,0.548,0.855,0.79,1.539
IND,2001,0.794,,,0.585,0.548,0.855,0.79,1.539
IND,2002,0.802,,,0.585,0.548,0.855,0.79,1.539
IND,2003,0.797,,,0.585,0.548,0.855,0.808,1.539
IND,2004,0.804,,,0.585,0.548,0.848,0.794,1.539
IND,2005,0.779,,,0.585,0.548,0.845,0.808,1.539
IND,2006,0.777,,,0.585,0.548,0.845,0.808,1.539
IND,2007,0.777,,,0.585,0.548,0.845,0.808,1.539
IND,2008,0.777,,,0.585,0.548,0.845,0.808,1.539
IND,2009,0.79,,,0.585,0.548,0.768,0.797,1.539
IND,2010,0.795,,,0.596,0.554,0.731,0.815,1.572
IND,2011,0.795,,,0.596,0.579,0.731,0.815,1.572
